,,,,,,
,,,,,,
,section,Section/ station,Line,From,To,Duration
,MAS - GDR,BBQ - KOK,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KOK - TNP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TNP - TVT,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TVT - ENR,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,ENR - AIP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIP - AIPP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIPP - MJR,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,MJR - PON,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,PON - KVP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KVP - GPD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,MMC - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,BBQ - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KOK - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TNP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TVT - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,ENR - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIPP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,MJR - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,PON - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KVP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,GPD - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,GPD - ELR,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,ELR - AKM,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,AKM - TAD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,TAD - AKAT,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,AKAT - SPE,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,ELR - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,AKM - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,TAD - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,SPE - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,SPE - PEL,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PEL - DVR,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,DVR - NYP,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,NYP - PYA,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PYA - ODR,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,ODR - GDR,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PEL - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,DVR - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,NYP - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PYA - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,ODR - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,GDR - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,MAS-GPD,UP,22.30 hrs,01.30 hrs,03.00 hrs
